order_id,order_date,customer_id,product_id,product_category,vendor_id,vendor_name,price,quantity,revenue
10000,2022-01-01,C1081,P205,Pharma,V001,Vendor A,32.48,3,97.44
10001,2022-01-01,C1094,P255,Pharma,V002,Vendor B,89.29,4,357.16
10002,2022-01-01,C1028,P261,Pharma,V001,Vendor A,21.65,2,43.3
10003,2022-01-01,C1086,E199,Electronics,V001,Vendor A,478.49,2,956.98
10004,2022-01-01,C1075,E138,Electronics,V001,Vendor A,214.19,4,856.76
10005,2022-01-01,C1003,P205,Pharma,V002,Vendor B,61.98,4,247.92
10006,2022-01-01,C1029,P290,Pharma,V001,Vendor A,43.3,3,129.9
10007,2022-01-01,C1071,P261,Pharma,V004,Vendor D,23.73,4,94.92
10008,2022-01-01,C1028,P207,Pharma,V003,Vendor C,50.6,4,202.4
10009,2022-01-01,C1000,P261,Pharma,V004,Vendor D,23.72,3,71.16
10010,2022-01-01,C1043,E169,Electronics,V002,Vendor B,307.67,2,615.34
10011,2022-01-01,C1027,E169,Electronics,V001,Vendor A,479.77,2,959.54
10012,2022-01-01,C1011,P207,Pharma,V001,Vendor A,44.37,5,221.85
10013,2022-01-01,C1045,P255,Pharma,V003,Vendor C,74.74,4,298.96
10014,2022-01-01,C1005,E138,Electronics,V001,Vendor A,323.31,3,969.93
10015,2022-01-01,C1048,P205,Pharma,V003,Vendor C,40.7,4,162.8
10016,2022-01-01,C1080,P290,Pharma,V003,Vendor C,54.01,2,108.02
10017,2022-01-01,C1073,E193,Electronics,V001,Vendor A,214.7,2,429.4
10018,2022-01-01,C1005,P261,Pharma,V003,Vendor C,55.98,2,111.96
10019,2022-01-01,C1010,E193,Electronics,V001,Vendor A,359.26,4,1437.04
10020,2022-01-01,C1048,P255,Pharma,V004,Vendor D,96.89,5,484.45
10021,2022-01-01,C1081,E169,Electronics,V002,Vendor B,244.97,5,1224.85
10022,2022-01-01,C1047,P255,Pharma,V002,Vendor B,97.22,4,388.88
10023,2022-01-02,C1085,E169,Electronics,V001,Vendor A,176.09,1,176.09
10024,2022-01-02,C1077,P261,Pharma,V002,Vendor B,35.9,3,107.7
10025,2022-01-02,C1020,P207,Pharma,V004,Vendor D,76.55,3,229.65
10026,2022-01-02,C1034,P290,Pharma,V002,Vendor B,81.7,5,408.5
10027,2022-01-02,C1087,P255,Pharma,V001,Vendor A,48.68,1,48.68
10028,2022-01-02,C1029,E179,Electronics,V003,Vendor C,452.09,4,1808.36
10029,2022-01-02,C1051,P255,Pharma,V001,Vendor A,27.63,5,138.15
10030,2022-01-02,C1027,P290,Pharma,V003,Vendor C,67.3,3,201.9
10031,2022-01-02,C1027,P207,Pharma,V004,Vendor D,57.78,5,288.9
10032,2022-01-02,C1082,P207,Pharma,V002,Vendor B,80.86,2,161.72
10033,2022-01-02,C1033,P261,Pharma,V002,Vendor B,61.82,2,123.64
10034,2022-01-02,C1095,P290,Pharma,V003,Vendor C,55.15,3,165.45
10035,2022-01-02,C1095,P290,Pharma,V004,Vendor D,45.15,4,180.6
10036,2022-01-02,C1074,E138,Electronics,V003,Vendor C,237.25,5,1186.25
10037,2022-01-02,C1028,P261,Pharma,V004,Vendor D,36.24,5,181.2
10038,2022-01-02,C1011,P205,Pharma,V001,Vendor A,75.58,4,302.32
10039,2022-01-02,C1019,P261,Pharma,V004,Vendor D,69.95,1,69.95
10040,2022-01-02,C1076,E179,Electronics,V004,Vendor D,455.01,4,1820.04
10041,2022-01-02,C1048,E199,Electronics,V004,Vendor D,215.3,3,645.9
10042,2022-01-02,C1067,P255,Pharma,V001,Vendor A,29.77,1,29.77
10043,2022-01-03,C1087,P205,Pharma,V003,Vendor C,71.82,1,71.82
10044,2022-01-03,C1098,E169,Electronics,V001,Vendor A,273.4,3,820.2
10045,2022-01-03,C1037,P207,Pharma,V002,Vendor B,53.39,5,266.95
10046,2022-01-03,C1058,P205,Pharma,V003,Vendor C,29.59,4,118.36
10047,2022-01-03,C1064,P261,Pharma,V001,Vendor A,45.86,1,45.86
10048,2022-01-03,C1080,E169,Electronics,V002,Vendor B,277.27,1,277.27
10049,2022-01-03,C1019,P255,Pharma,V002,Vendor B,97.0,2,194.0
10050,2022-01-03,C1069,P290,Pharma,V001,Vendor A,44.07,1,44.07
10051,2022-01-03,C1076,P255,Pharma,V004,Vendor D,41.34,2,82.68
10052,2022-01-03,C1002,P205,Pharma,V003,Vendor C,52.88,5,264.4
10053,2022-01-03,C1039,P261,Pharma,V001,Vendor A,70.75,2,141.5
10054,2022-01-03,C1030,E199,Electronics,V001,Vendor A,321.31,4,1285.24
10055,2022-01-03,C1010,P207,Pharma,V001,Vendor A,49.57,1,49.57
10056,2022-01-03,C1097,E199,Electronics,V002,Vendor B,371.31,3,1113.93
10057,2022-01-03,C1016,P207,Pharma,V002,Vendor B,32.06,3,96.18
10058,2022-01-03,C1033,E199,Electronics,V004,Vendor D,450.43,4,1801.72
10059,2022-01-03,C1027,P290,Pharma,V002,Vendor B,37.62,2,75.24
10060,2022-01-04,C1091,E169,Electronics,V004,Vendor D,479.18,2,958.36
10061,2022-01-04,C1085,P255,Pharma,V004,Vendor D,74.06,1,74.06
10062,2022-01-04,C1066,P207,Pharma,V001,Vendor A,36.73,2,73.46
10063,2022-01-04,C1031,P261,Pharma,V001,Vendor A,38.28,2,76.56
10064,2022-01-04,C1043,P205,Pharma,V002,Vendor B,61.33,1,61.33
10065,2022-01-04,C1075,P261,Pharma,V001,Vendor A,99.7,4,398.8
10066,2022-01-04,C1009,E179,Electronics,V002,Vendor B,465.15,3,1395.45
10067,2022-01-04,C1008,P205,Pharma,V003,Vendor C,42.31,3,126.93
10068,2022-01-04,C1009,P290,Pharma,V002,Vendor B,88.51,1,88.51
10069,2022-01-04,C1035,E138,Electronics,V002,Vendor B,179.45,4,717.8
10070,2022-01-04,C1069,E193,Electronics,V004,Vendor D,353.24,1,353.24
10071,2022-01-04,C1031,P207,Pharma,V004,Vendor D,97.89,2,195.78
10072,2022-01-04,C1024,P205,Pharma,V001,Vendor A,58.85,3,176.55
10073,2022-01-04,C1084,E138,Electronics,V003,Vendor C,228.49,1,228.49
10074,2022-01-04,C1054,E138,Electronics,V004,Vendor D,233.04,5,1165.2
10075,2022-01-04,C1093,E179,Electronics,V001,Vendor A,278.26,3,834.78
10076,2022-01-04,C1007,P207,Pharma,V003,Vendor C,44.64,4,178.56
10077,2022-01-04,C1013,P261,Pharma,V002,Vendor B,49.42,5,247.1
10078,2022-01-04,C1024,P290,Pharma,V004,Vendor D,91.36,3,274.08
10079,2022-01-04,C1017,P207,Pharma,V002,Vendor B,83.58,1,83.58
10080,2022-01-05,C1035,E138,Electronics,V002,Vendor B,230.56,3,691.68
10081,2022-01-05,C1009,E138,Electronics,V001,Vendor A,158.51,1,158.51
10082,2022-01-05,C1006,P290,Pharma,V001,Vendor A,99.56,5,497.8
